"","null","com","Simpson","FunRao","FRed","FRic","FEve","FSpe","FDis","FDiv","FOri","Tax.rich"
"-270.55",1,"-270.55",0.693423784193293,0.376106993430981,0.317316790762312,0.666667,0.597493,0.529077575288344,0.411736132838993,0.70312,0.404486397220963,17
"-266.95",1,"-266.95",0.829668235009337,0.502131935018736,0.327536299990601,0.77439,0.532806,0.6780212913657,0.650752403137869,0.851273,0.362101956863029,24
"-262.45",1,"-262.45",0.92472916923261,0.552061950067,0.37266721916561,0.729675,0.639078,0.690221486872785,0.682399247737619,0.821753,0.480646625719899,22
"-257.1",1,"-257.1",0.689425305883592,0.467820490630991,0.221604815252601,0.839431,0.465269,0.786533822744239,0.680768886852192,0.893367,0.473705193145084,19
"-253.3",1,"-253.3",0.830110739054278,0.432738388134496,0.397372350919782,0.831301,0.375743,0.519444476992937,0.475290219966897,0.873243,0.390150751425475,23
"-251.9",1,"-251.9",0.746736795433927,0.451975692637204,0.294761102796724,0.715447,0.450083,0.632529946146504,0.577257004191678,0.863922,0.409665112258054,18
"-251.3",1,"-251.3",0.913636128850964,0.544397599155647,0.369238529695317,0.642276,0.709899,0.605713621955105,0.648974187549429,0.827177,0.351657876684027,21
"-250.05",1,"-250.05",0.653097556489932,0.439209694436471,0.213887862053462,0.613821,0.472965,0.751928294682384,0.631015274390373,0.967873,0.463498691435361,20
"-248.15",1,"-248.15",0.888566303826025,0.53846774083848,0.350098562987544,0.892276,0.475083,0.616635398772826,0.650671330376191,0.767594,0.423026500175183,24
"-246.15",1,"-246.15",0.909450735086371,0.531885294776141,0.37756544031023,0.808943,0.596385,0.580789208746479,0.615828329561796,0.779018,0.383974922845214,19
"-244.5",1,"-244.5",0.842074976133151,0.421530127169641,0.42054484896351,0.349593,0.540813,0.476925308483727,0.472645507744698,0.765557,0.353911779671612,18
"-242.85",1,"-242.85",0.602130617264416,0.378448437159801,0.223682180104615,0.884146,0.637377,0.702016446032026,0.542864918881126,0.936809,0.352949100754973,21
"-238.5",1,"-238.5",0.658777249602469,0.416573728300679,0.24220352130179,0.70935,0.436218,0.568583880856327,0.615706342843817,0.781096,0.329645318006808,17
"-233.25",1,"-233.25",0.69092786901232,0.294536647966251,0.396391221046069,0.585366,0.480744,0.441622475930169,0.277726013538395,0.603937,0.403348269833751,19
"-229.75",1,"-229.75",0.81479551165191,0.458465385178157,0.356330126473753,0.556911,0.565024,0.573182926829541,0.561773978008994,0.831105,0.439126850391269,14
"-224.75",1,"-224.75",0.551182906835462,0.35947692944251,0.191705977392951,0.520325,0.690934,0.558081212459924,0.4989508367088,0.92277,0.42067617244316,18
"-218.55",1,"-218.55",0.831201505559178,0.484171224520626,0.347030281038551,0.882114,0.527535,0.713754586788595,0.650662715619372,0.878736,0.384135575633472,24
"-213.8",1,"-213.8",0.689879575169038,0.357146674260102,0.332732900908936,0.54878,0.57614,0.585199182435241,0.524766736533648,0.91711,0.337487066274882,15
"-210.25",1,"-210.25",0.728105086595667,0.41404328378148,0.314061802814187,0.731707,0.605368,0.515091566644583,0.490462925509587,0.564943,0.34752110732793,23
"-204.9",1,"-204.9",0.921247220524516,0.552013634396792,0.369233586127724,0.542683,0.700156,0.581845585350847,0.647703492689593,0.848403,0.373446537165879,19
"-199.8",1,"-199.8",0.782782192235197,0.492479463177107,0.29030272905809,0.52439,0.650087,0.610334439923473,0.641591672353449,0.84245,0.425713046965835,22
"-196.7",1,"-196.7",0.459830737178033,0.285460588969237,0.174370148208797,0.611789,0.59248,0.847432103357984,0.432342147759144,0.957051,0.46209724155447,20
"-192.95",1,"-192.95",0.602170588332907,0.355896635554046,0.246273952778861,0.489837,0.575578,0.558481686684672,0.453000885704235,0.95051,0.413048674449546,17
"-188.75",1,"-188.75",0.475136767964508,0.328652080836401,0.146484687128107,0.735772,0.686968,0.829447497333497,0.494706917998962,0.960291,0.47186444937964,22
"-184.7",1,"-184.7",0.785622843811221,0.435018302959996,0.350604540851225,0.546748,0.677909,0.564699877866827,0.574233531281738,0.866043,0.373026715881157,20
"-180.55",1,"-180.55",0.78873257107118,0.480783904754251,0.307948666316929,0.672764,0.553856,0.611382117354821,0.638602288141066,0.824555,0.369645709517868,24
"-270.551",2,"-270.55",0.556036468343843,0.372785718506426,0.183250749837417,0.542683,0.595681,0.860933832496511,0.634362148279141,0.979369,0.476041219420503,16
"-266.951",2,"-266.95",0.819185853617995,0.530164742305306,0.289021111312689,0.355691,0.601102,0.621403786323047,0.691472565088499,0.848299,0.415615457927749,16
"-262.451",2,"-262.45",0.822880805935832,0.51609596755779,0.306784838378042,0.77439,0.399833,0.67035421571262,0.698599665342876,0.909293,0.370237615713825,15
"-257.11",2,"-257.1",0.762415406151749,0.462031638818955,0.300383767332794,0.50813,0.547536,0.685662706907086,0.613643651734968,0.876327,0.342718429167957,16
"-253.31",2,"-253.3",0.802960384221138,0.432615860398228,0.37034452382291,0.922764,0.538454,0.666739167962916,0.51497792276014,0.888739,0.550558580127403,30
"-251.91",2,"-251.9",0.812726202270815,0.482266313286272,0.330459888984543,0.642276,0.545688,0.557756693061913,0.577377700876599,0.834664,0.370806698606653,22
"-251.31",2,"-251.3",0.933671575575036,0.556221508626459,0.377450066948577,0.79065,0.697566,0.600579953701833,0.660514092163562,0.806109,0.382147484273849,25
"-250.051",2,"-250.05",0.768530974676685,0.431413493817764,0.337117480858921,0.851626,0.714693,0.71114757279241,0.518309533058066,0.840325,0.372166596576952,20
"-248.151",2,"-248.15",0.611201000762428,0.334228448562532,0.276972552199896,0.693089,0.60525,0.541644860806174,0.347525135226028,0.675586,0.359627828218956,17
"-246.151",2,"-246.15",0.878992192956538,0.489343337975884,0.389648854980654,0.398374,0.672515,0.555514876132724,0.549226331693434,0.888114,0.33797051527243,15
"-244.51",2,"-244.5",0.302684022261544,0.175920868005965,0.126763154255579,0.546748,0.544122,0.674437708008298,0.247304263839051,0.911981,0.335914335820659,19
"-242.851",2,"-242.85",0.833814892557894,0.563370087227879,0.270444805330015,0.754065,0.408958,0.714959013488389,0.792351241138822,0.878958,0.490548778892591,19
"-238.51",2,"-238.5",0.898590434639469,0.50476837203852,0.393822062600949,0.678862,0.485353,0.602906509114628,0.615351544184644,0.812943,0.441302856129107,19
"-233.251",2,"-233.25",0.890084910783467,0.505922921882333,0.384161988901134,0.477642,0.584696,0.544224989371596,0.595246040655256,0.827444,0.341254574145402,18
"-229.751",2,"-229.75",0.671962322812515,0.404366674418408,0.267595648394107,0.74187,0.53932,0.627180572020041,0.536162376926215,0.926079,0.34213404930824,18
